category,description,title,institute,timestamp,site,credits,id
Accounting,"After a brief consideration of the meaning and purpose of accounting, this course explores the basic statements of an accounting system: the balance sheet, the income statement and the statement of owner's equity. Students will examine the accounting cycle with an emphasis on the methods of accumulating and summarizing data generated by business transactions. Students will apply their manual accounting skills to an automated accounting system using general ledger software. Areas of concentration will include adjusting entries, closing process, inventory analysis, merchandising, transactions, cash control procedures, receivables, and payables. Prerequisite: Academic Reading III (ESL098) or Reading Skills II (RDG095).",Principles of Accounting I,Bunker Hill Community College,,www.bhcc.mass.edu,3,ACC-101
Accounting,"This course will expand upon the basic concepts and theories that students learned in the Principles of Accounting I course. Students will be expected to apply their knowledge in a managerial decision-making mode. Areas studied include, but not limited to, the following: examine long-term assets and liabilities; financial statement analysis; transactions unique to the corporate business structure; bonds payable; planning and controlling using master budgets and cost behavior recognition utilizing cost-volume analysis as well as gaining exposure to accounting for manufacturers. Prerequisite: Principles of Accounting I (ACC101).",Principles of Accounting II,Bunker Hill Community College,,www.bhcc.mass.edu,3,ACC-102
Accounting,"This course introduces students to Accounting Information Systems.  The course focuses upon integrated systems, set up, and applications.  The modules covered include, among other topics: report writing, invoicing, purchasing, inventory control, accounts receivable, accounts payable, cash receipts, cash disbursements, payroll, and spreadsheet applications. Prerequisites: Writing Skills II (ENG095) or placement and Academic Reading III (ESL098) or Reading Skills II (RDG095).",Introduction to Accounting Software,Bunker Hill Community College,,www.bhcc.mass.edu,1,ACC-104
Accounting,"This course introduces students to Accounting Information Systems. The course focuses upon integrated systems, set up, and applications. The modules covered include, among other topics: general ledger, report writing, invoicing, purchasing, inventory control, accounts receivable, accounts payable, cash receipts, cash disbursements, payroll, and spreadsheet application. Prerequisites: Principles of Accounting I (ACC101), Writing Skills II (ENG095) or placement and Academic Reading III (ESL098) or Reading Skills II (RDG095).",Accounting Information Systems,Bunker Hill Community College,,www.bhcc.mass.edu,3,ACC-105
Accounting,"This course introduces students to the auditing process and prepares them to perform forensic audit and examination in conformity with pertinent industry standards. Students will learn comprehensive perspectives and skills in regards to occupational fraud and the technicality of fraud examination including searching accounting information, obtaining documentary evidence, interviewing witnesses and potential suspects, and conducting forensic document examination. This course will also provide electronic techniques required to audit. Prerequisite: Principles of Accounting II (ACC102).",Accounting Forensics,Bunker Hill Community College,,www.bhcc.mass.edu,3,ACC-107
Accounting,"This course covers, in detail, financial accounting, and generally accepted accounting principles. After a review of the accounting cycle, issues in revenue recognition and the time value of money are discussed. The four main financial statements are studied. Specific accounting issues pertaining to various current assets are covered. Prerequisite: Principles of Accounting II (ACC102).",Intermediate Accounting I,Bunker Hill Community College,,www.bhcc.mass.edu,3,ACC-201
Accounting,"A continuation of Intermediate Accounting I (ACC201), this course discusses accounting problems for long-term assets, current, and long-term liabilities. Issues in investments leases, employee compensation, and taxes are covered. Accounting for shareholder equity and earnings per share are covered. The preparation of the Statement of cash flow is studied. Prerequisite: Intermediate Accounting I (ACC201).",Intermediate Accounting II,Bunker Hill Community College,,www.bhcc.mass.edu,3,ACC-202
Accounting,"This course provides a comprehensive explanation of tax principles dealing with individuals and small businesses. The course covers modules in federal and state income tax processes, concepts, and applications as well as other topics. Prerequisite: Principles of Accounting II (ACC102).",Federal Income Tax I,Bunker Hill Community College,,www.bhcc.mass.edu,3,ACC-203
Accounting,"A continuation of Federal Income Tax I (ACC203), this course discusses the theoretical tax concepts that are applicable to corporations, partnerships, and trusts. The course covers both effective tax research and planning techniques for these types of entities. Prerequisite: Federal Income Tax I (ACC203).",Federal Income Tax II,Bunker Hill Community College,,www.bhcc.mass.edu,3,ACC-204
Accounting,This VITA internship provides an opportunity for students to perform a community service in cooperation with the Internal Revenue Service and the Massachusetts Department of Revenue. The course trains students to assist taxpayers in filling out tax returns. There are several mandatory trainings that take place prior to the start of classes. Please get more information in room C309. Prerequisite: Federal Income Tax I (ACC203).,Volunteer Income Tax Assistance,Bunker Hill Community College,,www.bhcc.mass.edu,3,ACC-205
