category,description,title,institute,site,credits,id
Social Science,"Introduction to civil, criminal and constitutional law, with special focus on procedural law and the federal and state court systems.  Limitations of the courts, forms of remedies, the law of equity and institutional sources of American law will also be studied.  Introduction to judicial cases and brief writing. Normally offered each semester.",ALS-264 Introduction to Law and Legal System,Suffolk University,www.suffolk.edu,,ALS-264
Social Science,"Ethical issues are central in law for lawyers, paralegals, judges, jurors and anyone working within or touched by the legal system.  This course examines philosophical questions, practical issues, and social theories of law, primarily through the use of legal materials, to analyze legal ethical theory.  The course considers how major theories are characterized within the American legal system, including the presumption of innocence, due process guarantees, the right to counsel, and other fundamental legal concepts. Normally offered alternate years.",ALS-265 Law and Ethics,Suffolk University,www.suffolk.edu,,ALS-265
Cultural Diversity Opt A,"This course examines criminal law in the United States from a broad perspective.  It will present the general principles and doctrines that affect the whole criminal law, such as elements of criminal offenses, defenses to crime, and perspectives on crime and criminal law.  In addition, students will learn the elements of specific crimes, such as homicide, criminal sexual conduct, terrorism and related crimes, crimes against public morals, and crimes against property.  Discussions of the direction of the criminal law and constitutional limitations on government will be presented as preparation for future study.",ALS-266 Criminal Law,Suffolk University,www.suffolk.edu,,ALS-266
,"Introduces the student to the responsibilities of paralegals and to the culture of the legal profession.  Topics include the development of paralegalism as a profession, the definition of the practice of law, ethical considerations, interviewing techniques, legal research, law office management, and client relationships. Normally offered each semester.",ALS-360 Fundamentals of Paralegal Practice,Suffolk University,www.suffolk.edu,,ALS-360
,"How to use the law library, perform legal research, write legal analysis in memorandum form, and use computers as a research tool. Initial focus is on learning how to find legal materials, including federal and state case law, statutory law, and administrative law.  Use of finding tools such as digests, encyclopedias, and CALR will be studied, as will Shepardizing. Focus also on legal writing, from letters through case analysis. Normally offered fall semester. Sophomore Status Required",ALS-361 Legal Research & Writing I,Suffolk University,www.suffolk.edu,,ALS-361
Social Science,"The Rules of Civil  Procedure dictate the steps taken in state and federal lawsuits.  This course will acquaint students with rules and the practical requirements of the rules, from filing a complaint to clarifying a judgment and to the duties of paralegals in a litigation office. Normally offered each semester.",ALS-362 Litigation,Suffolk University,www.suffolk.edu,,ALS-362
Social Science,"The existence and validity of a contract is determined by specific rules.  Students will learn about formation through offer and acceptance, contract enforceability, the necessity of consideration, and breach of contract and will draft contract provisions as a paralegal might in a law office. Normally offered each semester. Sophomore status required.",ALS-363 Law of Contracts,Suffolk University,www.suffolk.edu,,ALS-363
,"State laws affect the disposition of an individual's estate at death, and upon death, the estate must be probated in court. Focus on estate information gathering, drafting of wills, and the probate of estates for those with and without wills. Emphasis on the role of the paralegal in a law office handling wills and probate. Prerequisites: ALS 360 or 363 or permission of instructor. 1 term - 4 credits. Normally offered yearly.",ALS-365 Wills and Probate,Suffolk University,www.suffolk.edu,4.0,ALS-365
,"Corporations are unique business entities and specialized citizens of the state. This course will examine the special rules for establishing and maintaining a corporation, including the nature of corporations and their legal relationships with governments, individuals, and other business entities. Students will learn about the role of paralegals in corporate law offices, including document management and production, corporate litigation processes, and maintaining corporate compliance. Normally offered alternate years.",ALS-366 Corporate Law,Suffolk University,www.suffolk.edu,4.0,ALS-366
,"This course will present common law real estate principles and the effect of federal agencies on the buying and selling of real property. Sample forms including leases, purchase and sale agreements, and closing forms are reviewed and drafted. Normally offered alternate years.",ALS-368 Real Estate Law,Suffolk University,www.suffolk.edu,,ALS-368
